workload,value_size_bytes,avg_latency_ms,p99_latency_ms
100% Lecturas,512,0.8516143103994206,1.2592625617980957
100% Lecturas,4096,0.8504076005666373,1.278059482574463
100% Lecturas,524288,0.7895354049054844,2.0568370819091797
100% Lecturas,1048576,0.8240131394672561,2.1024799346928273
100% Lecturas,4194304,1.0347357391379677,1.6766357421875018
50% Lecturas / 50% Escrituras,512,1.2103681865295655,2.2440767288208
50% Lecturas / 50% Escrituras,4096,1.3099261566910168,2.290642261505127
50% Lecturas / 50% Escrituras,524288,49.41087844325047,257.80582427978516
50% Lecturas / 50% Escrituras,1048576,61.73135673298555,508.74377965927124
50% Lecturas / 50% Escrituras,4194304,145.99645137786865,1409.8073244094849
